dt,x,y,position,velocity,acceleration,jerk,heading
1.000000,82.159543,214.045112,15.000000,30.000000,30.000000,30.000000,6.101837
1.000000,125.703250,207.997227,58.961703,43.961703,13.961703,-16.038297,6.199068
1.000000,183.136004,209.220789,116.407489,57.445786,13.484083,-0.477620,0.146874
1.000000,237.091376,225.933925,172.892098,56.484609,-0.961177,-14.445260,0.459375
1.000000,275.677307,257.860727,222.973978,50.081880,-6.402729,-5.441553,1.287893
1.000000,259.079426,283.225182,253.286438,30.312460,-19.769420,-13.366691,2.529739
1.000000,246.814361,290.786547,267.694979,14.408541,-15.903919,3.865501,2.638487
1.000000,246.583880,290.913165,267.957950,0.262971,-14.145570,1.758349,2.639989
1.000000,246.583880,290.913165,267.957950,0.000000,-0.262971,13.882598,2.639989
