dt,x,y,position,velocity,acceleration,jerk,heading
1.000000,80.999624,163.620074,15.000000,30.000000,30.000000,30.000000,0.036385
1.000000,125.875003,166.874808,60.000000,60.000000,30.000000,0.000000,0.095523
1.000000,178.372960,171.604357,112.712830,45.425661,-14.574339,-44.574339,0.066497
1.000000,208.772501,172.727467,143.138491,15.425661,-30.000000,-15.425661,0.001534
1.000000,216.484846,172.656074,150.851321,0.000000,-15.425661,14.574339,6.262780
1.000000,216.484846,172.656074,150.851321,0.000000,0.000000,15.425661,6.262780
