dt,x,y,position,velocity,acceleration,jerk,heading
1.000000,78.564290,152.134776,15.000000,30.000000,30.000000,30.000000,0.020231
1.000000,124.676755,155.456832,61.231975,46.231975,16.231975,-13.768025,0.140192
1.000000,185.381670,175.064020,125.024831,63.792856,17.560881,1.328906,0.542719
1.000000,227.563108,225.311480,190.630326,65.605495,1.812639,-15.748243,1.193261
1.000000,237.476357,272.396975,238.748060,48.117734,-17.487760,-19.300399,1.503235
1.000000,237.994986,288.204322,254.563912,15.815852,-32.301882,-14.814122,1.570572
1.000000,237.994993,288.262614,254.622204,0.058292,-15.757560,16.544323,1.570796
1.000000,237.994993,288.262614,254.622204,0.000000,-0.058292,15.699267,1.570796
