dt,x,y,position,velocity,acceleration,jerk,heading
1.000000,79.561442,164.353095,15.000000,30.000000,30.000000,30.000000,0.144210
1.000000,119.645225,183.182263,60.000000,60.000000,30.000000,0.000000,0.747376
1.000000,152.252056,233.131784,120.000000,60.000000,0.000000,-30.000000,1.114929
1.000000,177.944337,278.045680,171.845742,43.691484,-16.308516,-16.308516,0.902882
1.000000,199.047342,297.259911,200.537226,13.691484,-30.000000,-13.691484,0.549641
1.000000,205.051232,300.543162,207.382968,0.000000,-13.691484,16.308516,0.451200
1.000000,205.051232,300.543162,207.382968,0.000000,0.000000,13.691484,0.451200
