dt,x,y,position,velocity,acceleration,jerk,heading
1.000000,76.101418,172.973781,15.000000,30.000000,30.000000,30.000000,0.056981
1.000000,118.873651,179.070154,58.204510,43.204510,13.204510,-16.795490,0.223216
1.000000,174.000019,197.224489,116.243259,58.038749,14.834238,1.629728,0.402548
1.000000,226.516301,223.595440,175.008784,58.765525,0.726776,-14.107462,0.517049
1.000000,271.897256,255.583029,230.530283,55.521500,-3.244025,-3.970801,0.902243
1.000000,265.470373,281.084592,256.829229,26.298946,-29.222553,-25.978528,2.493334
1.000000,249.982845,290.481602,274.944619,18.115390,-8.183557,21.038997,2.672689
1.000000,247.870434,291.532331,277.303922,2.359303,-15.756087,-7.572530,2.687147
1.000000,247.870434,291.532331,277.303922,0.000000,-2.359303,13.396784,2.687147
