dt,x,y,position,velocity,acceleration,jerk,heading
1.000000,78.372063,193.389483,15.000000,30.000000,30.000000,30.000000,6.101837
1.000000,123.938871,187.071478,61.002730,46.002730,16.002730,-13.997270,6.199068
1.000000,186.209281,188.446888,123.288328,62.285599,16.282869,0.280139,0.146874
1.000000,246.402523,207.110999,186.308764,63.020436,0.734838,-15.548031,0.459375
1.000000,295.842537,251.998690,253.086154,66.777390,3.756954,3.022116,1.287893
1.000000,271.141524,300.415464,307.439849,54.353694,-12.423696,-16.180649,2.529739
1.000000,256.939490,309.184421,324.130935,16.691087,-37.662607,-25.238911,2.638487
1.000000,256.681365,309.326225,324.425447,0.294511,-16.396575,21.266032,2.639989
1.000000,256.681365,309.326225,324.425447,0.000000,-0.294511,16.102064,2.639989
