dt,x,y,position,velocity,acceleration,jerk,heading
1.000000,78.548400,107.914144,15.000000,30.000000,30.000000,30.000000,5.991871
1.000000,114.724708,87.824114,56.380365,41.380365,11.380365,-18.619635,5.664752
1.000000,169.738007,56.445467,119.713472,63.333107,21.952743,10.572378,6.016341
1.000000,235.138797,69.960486,186.496098,66.782626,3.449518,-18.503224,0.600121
1.000000,278.701578,99.883869,239.346118,52.850020,-13.932606,-17.382124,0.834025
1.000000,291.853002,129.484114,271.736464,32.390346,-20.459674,-6.527068,1.465858
1.000000,292.198792,136.237896,278.499092,6.762628,-25.627717,-5.168043,1.570796
1.000000,292.198792,136.237896,278.499092,0.000000,-6.762628,18.865089,1.570796
