dt,x,y,position,velocity,acceleration,jerk,heading
1.000000,84.360405,170.604256,15.000000,30.000000,30.000000,30.000000,5.965593
1.000000,124.864891,141.586631,64.826057,49.826057,19.826057,-10.173943,5.451317
1.000000,163.916307,97.705142,123.567849,58.741792,8.915734,-10.910323,5.566101
1.000000,210.365451,84.153575,171.953466,48.385617,-10.356174,-19.271908,0.197704
1.000000,266.970693,100.184933,230.785072,58.831606,10.445989,20.802163,0.292294
1.000000,291.357543,121.867134,263.416902,32.631830,-26.199776,-36.645764,1.322546
1.000000,292.795241,134.727519,276.357399,12.940497,-19.691333,6.508443,1.567645
1.000000,292.795618,134.967495,276.597375,0.239976,-12.700521,6.990811,1.570796
1.000000,292.795618,134.967495,276.597375,0.000000,-0.239976,12.460545,1.570796
