dt,x,y,position,velocity,acceleration,jerk,heading
1.000000,78.569042,175.176082,15.000000,30.000000,30.000000,30.000000,0.217830
1.000000,112.895711,194.397168,54.341712,39.341712,9.341712,-20.658288,0.716285
1.000000,156.750306,235.918230,114.733964,60.392252,21.050540,11.708827,0.676343
1.000000,219.510201,257.043217,180.953822,66.219858,5.827606,-15.222934,6.197065
1.000000,275.233374,240.052224,239.209859,58.256037,-7.963820,-13.791426,5.604876
1.000000,292.287600,206.076042,277.226008,38.016148,-20.239889,-12.276069,4.807912
1.000000,292.620751,197.039230,286.268959,9.042951,-28.973197,-8.733308,4.695441
1.000000,292.620751,197.039230,286.268959,0.000000,-9.042951,19.930246,4.695441
