dt,x,y,position,velocity,acceleration,jerk,heading
1.000000,81.234029,205.275646,15.000000,30.000000,30.000000,30.000000,6.225748
1.000000,125.496616,197.773600,60.000000,60.000000,30.000000,0.000000,5.987591
1.000000,177.124774,168.300621,120.000000,60.000000,0.000000,-30.000000,5.522156
1.000000,209.940796,118.609848,180.000000,60.000000,0.000000,0.000000,5.099680
1.000000,223.460151,69.841717,230.704379,41.408758,-18.591242,-18.591242,4.884839
1.000000,226.976162,43.674214,257.113137,11.408758,-30.000000,-11.408758,4.810368
1.000000,227.494993,37.993511,262.817516,0.000000,-11.408758,18.591242,4.796696
1.000000,227.494993,37.993511,262.817516,0.000000,0.000000,11.408758,4.796696
