dt,x,y,position,velocity,acceleration,jerk,heading
1.000000,77.815463,193.625464,15.000000,30.000000,30.000000,30.000000,6.188541
1.000000,121.560534,186.922804,59.255586,44.255586,14.255586,-15.744414,6.118636
1.000000,185.418754,185.390546,123.132186,63.876601,19.621015,5.365429,0.247781
1.000000,231.308395,231.108887,187.908925,64.776739,0.900138,-18.720876,1.255544
1.000000,238.130576,272.908107,230.261221,42.352296,-22.424443,-23.324582,1.524177
1.000000,238.418460,285.721811,243.078158,12.816937,-29.535359,-7.110915,1.570796
1.000000,238.418460,285.721811,243.078158,0.000000,-12.816937,16.718422,1.570796
