dt,x,y,position,velocity,acceleration,jerk,heading
1.000000,77.356826,174.641226,15.000000,30.000000,30.000000,30.000000,0.104156
1.000000,122.394909,180.361047,60.399837,45.399837,15.399837,-14.600163,0.065041
1.000000,185.583187,158.827245,127.156584,66.756747,21.356910,5.957073,5.471032
1.000000,224.108971,125.480406,178.109970,50.953387,-15.803360,-37.160269,6.102745
1.000000,286.406741,107.945697,242.828424,64.718453,13.765067,29.568426,5.551466
1.000000,299.195890,47.447386,304.663753,61.835329,-2.883124,-16.648191,4.290442
1.000000,273.799564,22.493130,340.268363,35.604610,-26.230719,-23.347595,3.653487
1.000000,266.915044,18.862280,348.051658,7.783295,-27.821315,-1.590595,3.605240
1.000000,266.915044,18.862280,348.051658,0.000000,-7.783295,20.038020,3.605240
