dt,x,y,position,velocity,acceleration,jerk,heading
1.000000,79.755716,131.731669,15.000000,30.000000,30.000000,30.000000,0.185897
1.000000,105.727510,153.654804,48.987614,33.987614,3.987614,-26.012386,1.101863
1.000000,126.464540,209.450955,108.512692,59.525078,25.537463,21.549849,1.142429
1.000000,182.066485,247.701549,176.001093,67.488401,7.963324,-17.574140,6.281685
1.000000,240.860561,251.962242,234.949348,58.948255,-8.540146,-16.503469,0.066297
1.000000,288.840772,221.001691,292.051506,57.102158,-1.846097,6.694048,4.991515
1.000000,292.153163,196.412353,316.862944,24.811437,-32.290721,-30.444623,4.736528
1.000000,292.198792,192.559031,320.716536,3.853592,-20.957845,11.332875,4.712389
1.000000,292.198792,192.559031,320.716536,0.000000,-3.853592,17.104253,4.712389
