dt,x,y,position,velocity,acceleration,jerk,heading
1.000000,79.311420,131.896626,15.000000,30.000000,30.000000,30.000000,0.226260
1.000000,101.854203,156.032291,48.025860,33.025860,3.025860,-26.974140,1.216455
1.000000,118.119651,213.969169,108.202654,60.176795,27.150935,24.125075,1.195049
1.000000,175.090708,250.256400,175.748672,67.546017,7.369223,-19.781712,6.197017
1.000000,233.421046,244.386769,234.373589,58.624917,-8.921100,-16.290323,6.177573
1.000000,271.811576,210.271479,285.731995,51.358406,-7.266511,1.654590,4.900366
1.000000,273.142769,194.676367,301.383818,15.651824,-35.706583,-28.440072,4.712389
1.000000,273.142769,194.676367,301.383818,0.000000,-15.651824,20.054759,4.712389
