dt,x,y,position,velocity,acceleration,jerk,heading
1.000000,80.883302,209.608589,15.000000,30.000000,30.000000,30.000000,0.179643
1.000000,121.159499,228.623688,60.000000,60.000000,30.000000,0.000000,0.665551
1.000000,160.641607,267.453114,115.427221,50.854441,-9.145559,-39.145559,0.798030
1.000000,187.651128,290.935561,151.281662,20.854441,-30.000000,-20.854441,0.592582
1.000000,196.581889,296.308490,161.708883,0.000000,-20.854441,9.145559,0.487595
1.000000,196.581889,296.308490,161.708883,0.000000,0.000000,20.854441,0.487595
