dt,x,y,position,velocity,acceleration,jerk,heading
1.000000,80.848398,164.750717,15.000000,30.000000,30.000000,30.000000,0.193143
1.000000,120.983049,184.195502,60.000000,60.000000,30.000000,0.000000,0.649638
1.000000,166.133120,223.683413,120.000000,60.000000,0.000000,-30.000000,0.687137
1.000000,219.611489,248.747927,180.000000,60.000000,0.000000,0.000000,0.091277
1.000000,277.039077,240.030498,238.517238,57.034477,-2.965523,-2.965523,5.908825
1.000000,302.738293,209.406955,280.551715,27.034477,-30.000000,-27.034477,4.890777
1.000000,303.719085,195.946769,294.068954,0.000000,-27.034477,2.965523,4.695441
1.000000,303.719085,195.946769,294.068954,0.000000,0.000000,27.034477,4.695441
