dt,x,y,position,velocity,acceleration,jerk,heading
1.000000,81.594051,194.449840,15.000000,30.000000,30.000000,30.000000,6.105730
1.000000,119.777696,179.028704,56.180119,41.180119,11.180119,-18.819881,5.761813
1.000000,168.339149,151.134216,112.182951,56.002832,14.822712,3.642593,5.852615
1.000000,205.553157,140.803636,150.804231,38.621280,-17.381551,-32.204264,6.201252
1.000000,216.908470,140.567797,162.161993,11.357762,-27.263518,-9.881967,0.040356
1.000000,216.908470,140.567797,162.161993,0.000000,-11.357762,15.905757,0.040356
