dt,x,y,position,velocity,acceleration,jerk,heading
1.000000,81.836785,215.758331,15.000000,30.000000,30.000000,30.000000,6.225748
1.000000,128.555354,207.818207,62.388502,47.388502,17.388502,-12.611498,5.987591
1.000000,184.366277,175.903952,126.679862,64.291360,16.902857,-0.485645,5.522156
1.000000,219.663119,122.575506,190.631329,63.951467,-0.339893,-17.242750,5.099680
1.000000,233.804408,71.643478,243.490080,52.858751,-11.092716,-10.752823,4.884839
1.000000,237.425802,44.701351,270.674501,27.184421,-25.674330,-14.581615,4.810368
1.000000,237.957700,38.877683,276.522408,5.847907,-21.336514,4.337817,4.796696
1.000000,237.957700,38.877683,276.522408,0.000000,-5.847907,15.488607,4.796696
