dt,x,y,position,velocity,acceleration,jerk,heading
1.000000,84.341282,170.658977,15.000000,30.000000,30.000000,30.000000,5.972125
1.000000,125.303511,143.083274,64.379385,49.379385,19.379385,-10.620615,5.510879
1.000000,168.267217,107.257298,120.320251,55.940866,6.561482,-12.817903,5.867081
1.000000,224.635662,102.703154,176.872367,56.552116,0.611249,-5.950233,6.131343
1.000000,265.280274,104.784349,217.570228,40.697861,-15.854255,-16.465504,0.858187
1.000000,271.834344,127.351390,241.069743,23.499515,-17.198346,-1.344091,1.508655
1.000000,272.045726,134.544028,248.265486,7.195743,-16.303773,0.894573,1.570796
1.000000,272.045726,134.544028,248.265486,0.000000,-7.195743,9.108030,1.570796
