dt,x,y,position,velocity,acceleration,jerk,heading
1.000000,79.622902,162.247547,15.000000,30.000000,30.000000,30.000000,6.248738
1.000000,124.320381,157.469959,60.000000,60.000000,30.000000,0.000000,6.088344
1.000000,179.565157,135.238407,120.000000,60.000000,0.000000,-30.000000,5.665112
1.000000,215.272007,90.437993,178.028183,56.056365,-3.943635,-3.943635,5.120118
1.000000,226.018814,50.935843,219.084548,26.056365,-30.000000,-26.056365,4.856774
1.000000,227.494993,37.993511,232.112730,0.000000,-26.056365,3.943635,4.796696
1.000000,227.494993,37.993511,232.112730,0.000000,0.000000,26.056365,4.796696
