dt,x,y,position,velocity,acceleration,jerk,heading
1.000000,83.107384,154.672340,15.000000,30.000000,30.000000,30.000000,0.217830
1.000000,126.684039,178.557913,64.693515,49.693515,19.693515,-10.306485,0.716285
1.000000,169.895164,219.541029,124.248675,59.555160,9.861646,-9.831869,0.676343
1.000000,217.703911,236.121045,174.850782,50.602107,-8.953054,-18.814700,6.197065
1.000000,262.056340,223.700900,220.909418,46.058636,-4.543470,4.409584,5.604876
1.000000,271.383337,204.073103,242.640578,21.731160,-24.327477,-19.784007,4.807912
1.000000,271.623767,197.395111,249.322897,6.682319,-15.048841,9.278636,4.695441
1.000000,271.623767,197.395111,249.322897,0.000000,-6.682319,8.366522,4.695441
