dt,x,y,position,velocity,acceleration,jerk,heading
1.000000,82.223245,172.813550,15.000000,30.000000,30.000000,30.000000,6.204031
1.000000,127.333251,168.236768,60.341588,45.341588,15.341588,-14.658412,6.171292
1.000000,179.342614,163.233081,112.591092,52.249505,6.907917,-8.433671,6.218885
1.000000,209.098883,162.278810,142.362659,29.771566,-22.477938,-29.385855,0.005350
1.000000,216.616759,162.402134,149.881546,7.518888,-22.252679,0.225259,0.027771
1.000000,216.616759,162.402134,149.881546,0.000000,-7.518888,14.733791,0.027771
