dt,x,y,position,velocity,acceleration,jerk,heading
1.000000,83.858367,155.455351,15.000000,30.000000,30.000000,30.000000,0.296862
1.000000,124.397696,184.426515,64.827358,49.827358,19.827358,-10.172642,0.813498
1.000000,166.282487,217.231572,118.029872,53.202514,3.375157,-16.452201,0.239909
1.000000,225.070749,224.911936,177.317709,59.287837,6.085323,2.710166,0.231367
1.000000,247.119550,213.871653,201.976125,24.658416,-34.629422,-40.714745,4.904893
1.000000,248.351036,197.682377,218.212172,16.236047,-8.422369,26.207053,4.706403
1.000000,248.333072,196.124709,219.769943,1.557772,-14.678275,-6.255906,4.695441
1.000000,248.333072,196.124709,219.769943,0.000000,-1.557772,13.120503,4.695441
