dt,x,y,position,velocity,acceleration,jerk,heading
1.000000,78.863818,116.402184,15.000000,30.000000,30.000000,30.000000,0.067801
1.000000,122.877859,125.085104,60.000000,60.000000,30.000000,0.000000,0.338465
1.000000,173.057426,156.990813,120.000000,60.000000,0.000000,-30.000000,0.796910
1.000000,206.706309,206.273965,180.000000,60.000000,0.000000,0.000000,1.090838
1.000000,224.678854,253.845628,230.998203,41.996406,-18.003594,-18.003594,1.350613
1.000000,228.219404,280.572208,257.994609,11.996406,-30.000000,-11.996406,1.529918
1.000000,228.341927,286.568745,263.992812,0.000000,-11.996406,18.003594,1.570796
1.000000,228.341927,286.568745,263.992812,0.000000,0.000000,11.996406,1.570796
