dt,x,y,position,velocity,acceleration,jerk,heading
1.000000,79.261281,151.753776,15.000000,30.000000,30.000000,30.000000,6.248738
1.000000,122.287463,147.168636,58.269803,43.269803,13.269803,-16.730197,6.088344
1.000000,173.480768,126.680942,113.410533,55.140730,11.870927,-1.398876,5.665112
1.000000,205.632758,86.274476,165.048047,51.637515,-3.503215,-15.374142,5.120118
1.000000,215.628071,49.425065,203.229003,38.180955,-13.456559,-9.953344,4.856774
1.000000,217.032286,37.109338,215.624524,12.395521,-25.785434,-12.328874,4.796696
1.000000,217.032286,37.109338,215.624524,0.000000,-12.395521,13.389912,4.796696
