dt,x,y,position,velocity,acceleration,jerk,heading
1.000000,85.301075,215.120059,15.000000,30.000000,30.000000,30.000000,6.105730
1.000000,130.237171,197.238574,63.363211,48.363211,18.363211,-11.636789,5.761813
1.000000,177.104318,170.217502,117.461897,54.098686,5.735475,-12.627735,5.852615
1.000000,207.271822,161.733189,148.799763,31.337866,-22.760821,-28.496296,6.201252
1.000000,216.061222,161.550699,157.591058,8.791295,-22.546571,0.214250,0.040356
1.000000,216.061222,161.550699,157.591058,0.000000,-8.791295,13.755275,0.040356
