dt,x,y,position,velocity,acceleration,jerk,heading
1.000000,80.049644,131.609248,15.000000,30.000000,30.000000,30.000000,0.159049
1.000000,108.457011,151.768553,49.833548,34.833548,4.833548,-25.166452,1.010951
1.000000,132.185988,205.584380,108.648577,58.815028,23.981480,19.147932,1.117598
1.000000,185.358834,246.749779,175.893961,67.245385,8.430356,-15.551124,0.097364
1.000000,240.458537,261.838491,233.022295,57.128334,-10.117051,-18.547407,0.326817
1.000000,303.746715,248.062358,297.792467,64.770173,7.641839,17.758890,5.222185
1.000000,313.487133,205.875537,341.089161,43.296693,-21.473480,-29.115319,4.764534
1.000000,313.795618,193.405966,353.562547,12.473386,-30.823307,-9.349827,4.712389
1.000000,313.795618,193.405966,353.562547,0.000000,-12.473386,18.349920,4.712389
