dt,x,y,position,velocity,acceleration,jerk,heading
1.000000,83.375603,110.874302,15.000000,30.000000,30.000000,30.000000,0.159049
1.000000,126.251095,140.616396,67.181414,52.181414,22.181414,-7.818586,1.010951
1.000000,151.066067,196.389674,128.225999,61.044585,8.863171,-13.318243,1.117598
1.000000,187.400259,225.849239,175.002483,46.776484,-14.268100,-23.131271,0.097364
1.000000,247.200173,241.950044,236.932004,61.929521,15.153037,29.421137,0.326817
1.000000,285.416992,237.814370,275.371946,38.439941,-23.489580,-38.642617,5.222185
1.000000,292.515677,204.780997,309.159444,33.787498,-4.652443,18.837137,4.764534
1.000000,292.795618,193.405966,320.537920,11.378475,-22.409023,-17.756580,4.712389
1.000000,292.795618,193.405966,320.537920,0.000000,-11.378475,11.030548,4.712389
