dt,x,y,position,velocity,acceleration,jerk,heading
1.000000,81.564123,117.971749,15.000000,30.000000,30.000000,30.000000,5.991871
1.000000,120.812177,96.379389,60.000000,60.000000,30.000000,0.000000,5.664752
1.000000,172.506735,66.573851,120.000000,60.000000,0.000000,-30.000000,6.016341
1.000000,229.209005,78.625794,180.000000,60.000000,0.000000,0.000000,0.600121
1.000000,270.924836,106.938817,230.663864,41.327728,-18.672272,-18.672272,0.834025
1.000000,281.410762,130.583950,256.991592,11.327728,-30.000000,-11.327728,1.465858
1.000000,281.698792,136.237896,262.655455,0.000000,-11.327728,18.672272,1.570796
1.000000,281.698792,136.237896,262.655455,0.000000,0.000000,11.327728,1.570796
