dt,x,y,position,velocity,acceleration,jerk,heading
1.000000,81.993423,206.311549,15.000000,30.000000,30.000000,30.000000,6.021856
1.000000,115.770624,178.402075,60.000000,60.000000,30.000000,0.000000,5.251862
1.000000,139.199602,123.245995,120.000000,60.000000,0.000000,-30.000000,5.097313
1.000000,174.274608,76.175526,180.000000,60.000000,0.000000,0.000000,5.809754
1.000000,232.645067,76.529362,240.000000,60.000000,0.000000,0.000000,0.308224
1.000000,274.835649,101.379600,289.868939,39.737877,-20.262123,-20.262123,0.962125
1.000000,282.419650,124.596192,314.606816,9.737877,-30.000000,-9.737877,1.507299
1.000000,282.545726,129.462422,319.475754,0.000000,-9.737877,20.262123,1.580600
1.000000,282.545726,129.462422,319.475754,0.000000,0.000000,9.737877,1.580600
