dt,x,y,position,velocity,acceleration,jerk,heading
1.000000,85.757461,198.842340,15.000000,30.000000,30.000000,30.000000,0.224048
1.000000,129.498339,218.655934,63.019193,48.019193,18.019193,-11.980807,0.530897
1.000000,179.839948,238.440215,117.108890,54.089697,6.070504,-11.948690,0.026547
1.000000,238.293806,232.876557,175.826928,58.718037,4.628340,-1.442163,6.211268
1.000000,268.369432,216.581566,210.033214,34.206286,-24.511751,-29.140092,5.086262
1.000000,271.551024,198.839677,228.058117,18.024904,-16.181382,8.330369,4.751887
1.000000,271.622696,195.851023,231.047631,2.989514,-15.035390,1.145992,4.721508
1.000000,271.622696,195.851023,231.047631,0.000000,-2.989514,12.045876,4.721508
