dt,x,y,position,velocity,acceleration,jerk,heading
1.000000,80.660213,110.097962,15.000000,30.000000,30.000000,30.000000,0.053854
1.000000,125.580556,113.454297,60.045556,45.045556,15.045556,-14.954444,0.058338
1.000000,179.893187,107.697527,114.662425,54.616869,9.571312,-5.474244,5.874968
1.000000,209.289101,74.777476,158.796873,44.134448,-10.482421,-20.053733,5.075200
1.000000,216.155843,45.458495,188.909242,30.112369,-14.022079,-3.539659,4.838443
1.000000,217.032286,37.109338,197.304275,8.395033,-21.717336,-7.695256,4.796696
1.000000,217.032286,37.109338,197.304275,0.000000,-8.395033,13.322303,4.796696
