dt,x,y,position,velocity,acceleration,jerk,heading
1.000000,75.954347,105.824263,15.000000,30.000000,30.000000,30.000000,0.051179
1.000000,121.368880,110.008653,60.606895,45.606895,15.606895,-14.393105,0.109651
1.000000,179.740328,113.648918,119.091744,58.484849,12.877954,-2.728941,6.253225
1.000000,233.785062,101.917168,174.395154,55.303410,-3.181438,-16.059392,5.843920
1.000000,276.110651,68.084878,228.580755,54.185601,-1.117810,2.063629,5.346126
1.000000,270.906077,45.080225,252.166803,23.586048,-30.599553,-29.481743,3.721940
1.000000,257.969954,37.868844,266.977181,14.810378,-8.775670,21.823883,3.606675
1.000000,257.523559,37.645251,267.476442,0.499261,-14.311117,-5.535447,3.605240
1.000000,257.523559,37.645251,267.476442,0.000000,-0.499261,13.811855,3.605240
