dt,x,y,position,velocity,acceleration,jerk,heading
1.000000,78.807743,204.078472,15.000000,30.000000,30.000000,30.000000,6.188541
1.000000,123.280514,197.280973,60.000000,60.000000,30.000000,0.000000,6.118636
1.000000,182.843598,195.569867,120.000000,60.000000,0.000000,-30.000000,0.247781
1.000000,221.325855,234.364482,177.328516,54.657032,-5.342968,-5.342968,1.255544
1.000000,227.641984,273.397428,216.985548,24.657032,-30.000000,-24.657032,1.524177
1.000000,227.918460,285.721811,229.314064,0.000000,-24.657032,5.342968,1.570796
1.000000,227.918460,285.721811,229.314064,0.000000,0.000000,24.657032,1.570796
