dt,x,y,position,velocity,acceleration,jerk,heading
1.000000,83.424587,209.079904,15.000000,30.000000,30.000000,30.000000,0.224048
1.000000,124.182117,227.710644,60.000000,60.000000,30.000000,0.000000,0.530897
1.000000,179.561236,248.936515,120.000000,60.000000,0.000000,-30.000000,0.026547
1.000000,239.048285,243.349415,180.000000,60.000000,0.000000,0.000000,6.211268
1.000000,278.144089,220.416419,228.308607,36.617213,-23.382787,-23.382787,5.086262
1.000000,282.042834,199.254304,249.925820,6.617213,-30.000000,-6.617213,4.751887
1.000000,282.122259,195.946769,253.234426,0.000000,-6.617213,23.382787,4.721508
1.000000,282.122259,195.946769,253.234426,0.000000,0.000000,6.617213,4.721508
