dt,x,y,position,velocity,acceleration,jerk,heading
1.000000,80.751066,207.711953,15.000000,30.000000,30.000000,30.000000,6.196738
1.000000,122.867105,193.536882,60.000000,60.000000,30.000000,0.000000,5.651956
1.000000,152.665867,142.879187,120.000000,60.000000,0.000000,-30.000000,4.966818
1.000000,164.743227,84.118988,180.000000,60.000000,0.000000,0.000000,4.949836
1.000000,184.205464,40.402359,228.274338,36.548675,-23.451325,-23.451325,5.405139
1.000000,200.501219,26.466515,249.823013,6.548675,-30.000000,-6.548675,5.747397
1.000000,203.357364,24.866028,253.097350,0.000000,-6.548675,23.451325,5.797153
1.000000,203.357364,24.866028,253.097350,0.000000,0.000000,6.548675,5.797153
