dt,x,y,position,velocity,acceleration,jerk,heading
1.000000,79.629288,119.160386,15.000000,30.000000,30.000000,30.000000,6.134438
1.000000,120.459503,101.414355,60.000000,60.000000,30.000000,0.000000,5.638354
1.000000,161.628200,60.230436,118.327249,56.654499,-3.345501,-33.345501,5.452161
1.000000,192.036731,31.880138,159.981748,26.654499,-30.000000,-26.654499,5.664513
1.000000,203.357364,24.866028,173.308998,0.000000,-26.654499,3.345501,5.797153
1.000000,203.357364,24.866028,173.308998,0.000000,0.000000,26.654499,5.797153
