dt,x,y,position,velocity,acceleration,jerk,heading
1.000000,81.831856,216.827214,15.000000,30.000000,30.000000,30.000000,6.201163
1.000000,128.648768,205.743947,63.110934,48.110934,18.110934,-11.889066,5.885703
1.000000,180.334705,167.440097,127.443049,64.332115,16.221181,-1.889754,5.415038
1.000000,215.157407,127.668628,180.305042,52.861993,-11.470122,-27.691302,5.967315
1.000000,275.012815,115.438260,241.397201,61.092158,8.230165,19.700287,5.841065
1.000000,302.269466,57.598252,305.337732,63.940531,2.848373,-5.381792,4.542943
1.000000,276.339328,23.962640,347.808033,42.470301,-21.470230,-24.318603,3.679515
1.000000,266.915044,18.862280,358.523946,10.715913,-31.754388,-10.284158,3.605240
1.000000,266.915044,18.862280,358.523946,0.000000,-10.715913,21.038474,3.605240
