dt,x,y,position,velocity,acceleration,jerk,heading
1.000000,82.592531,110.259549,15.000000,30.000000,30.000000,30.000000,0.072619
1.000000,128.897031,120.096472,62.337847,47.337847,17.337847,-12.662153,0.305802
1.000000,179.647153,136.267401,115.602035,53.264188,5.926341,-11.411507,0.250020
1.000000,209.722205,140.984485,146.044764,30.442728,-22.821460,-28.747801,0.038361
1.000000,217.780268,140.990278,154.102828,8.058065,-22.384663,0.436797,6.245229
1.000000,217.780268,140.990278,154.102828,0.000000,-8.058065,14.326599,6.245229
