dt,x,y,position,velocity,acceleration,jerk,heading
1.000000,77.913844,150.666778,15.000000,30.000000,30.000000,30.000000,5.972125
1.000000,110.649941,128.040905,54.794248,39.794248,9.794248,-20.205752,5.510879
1.000000,159.779015,88.049216,118.142500,63.348252,23.554005,13.759757,5.867081
1.000000,221.459220,81.944777,180.124044,61.981544,-1.366708,-24.920713,6.131343
1.000000,281.170100,91.054330,240.525810,60.401765,-1.579779,-0.213071,0.858187
1.000000,292.793811,126.047253,277.398771,36.872962,-23.528803,-21.949024,1.508655
1.000000,293.045726,134.544028,285.899280,8.500509,-28.372453,-4.843650,1.570796
1.000000,293.045726,134.544028,285.899280,0.000000,-8.500509,19.871945,1.570796
