dt,x,y,position,velocity,acceleration,jerk,heading
1.000000,83.266360,110.819820,15.000000,30.000000,30.000000,30.000000,0.140940
1.000000,128.767448,128.732929,63.900189,48.900189,18.900189,-11.099811,0.545611
1.000000,174.666362,157.438124,118.036116,54.135927,5.235738,-13.664451,0.468071
1.000000,204.109790,166.585442,148.867737,30.831621,-23.304305,-28.540043,0.093288
1.000000,212.698662,166.821776,157.459860,8.592123,-22.239498,1.064807,6.245229
1.000000,212.698662,166.821776,157.459860,0.000000,-8.592123,13.647375,6.245229
