dt,x,y,position,velocity,acceleration,jerk,heading
1.000000,81.791383,121.215706,15.000000,30.000000,30.000000,30.000000,0.140940
1.000000,123.318570,137.708436,60.000000,60.000000,30.000000,0.000000,0.545611
1.000000,169.929122,166.808747,114.976383,49.952766,-10.047234,-40.047234,0.468071
1.000000,203.131682,177.039786,149.929150,19.952766,-30.000000,-19.952766,0.093288
1.000000,213.097109,177.314213,159.905533,0.000000,-19.952766,10.047234,6.245229
1.000000,213.097109,177.314213,159.905533,0.000000,0.000000,19.952766,6.245229
