dt,x,y,position,velocity,acceleration,jerk,heading
1.000000,77.802523,150.654464,15.000000,30.000000,30.000000,30.000000,5.965593
1.000000,109.341880,127.443217,54.159840,39.159840,9.159840,-20.840160,5.451317
1.000000,150.115327,81.876909,115.305260,61.145420,21.985580,12.825740,5.566101
1.000000,214.490244,63.562653,182.234640,66.929380,5.783960,-16.201620,0.197704
1.000000,273.021845,80.075643,243.050979,60.816340,-6.113040,-11.897000,0.292294
1.000000,311.713761,116.707255,296.332678,53.281699,-7.534641,-1.421601,1.322546
1.000000,313.795136,134.661348,314.407013,18.074335,-35.207364,-27.672723,1.567645
1.000000,313.795618,134.967495,314.713160,0.306147,-17.768188,17.439176,1.570796
1.000000,313.795618,134.967495,314.713160,0.000000,-0.306147,17.462040,1.570796
