dt,x,y,position,velocity,acceleration,jerk,heading
1.000000,83.894842,208.362985,15.000000,30.000000,30.000000,30.000000,0.129887
1.000000,127.130286,220.430442,60.000000,60.000000,30.000000,0.000000,0.371736
1.000000,182.952879,242.374294,120.000000,60.000000,0.000000,-30.000000,0.304116
1.000000,242.024347,247.687699,180.000000,60.000000,0.000000,0.000000,6.131921
1.000000,291.454361,231.309363,232.867626,45.735252,-14.264748,-14.264748,5.532997
1.000000,303.470686,203.807099,263.602878,15.735252,-30.000000,-15.735252,4.797324
1.000000,303.719085,195.946769,271.470504,0.000000,-15.735252,14.264748,4.695441
1.000000,303.719085,195.946769,271.470504,0.000000,0.000000,15.735252,4.695441
