dt,x,y,position,velocity,acceleration,jerk,heading
1.000000,80.120288,197.667621,15.000000,30.000000,30.000000,30.000000,6.260904
1.000000,111.542838,182.252411,50.000076,35.000076,5.000076,-24.999924,5.420866
1.000000,138.196195,132.135669,106.763527,56.763450,21.763374,16.763298,5.131440
1.000000,175.198645,78.810948,171.668897,64.905371,8.141921,-13.621453,5.678542
1.000000,241.943682,73.804227,238.601454,66.932557,2.027186,-6.114735,0.308925
1.000000,294.681889,87.470382,293.081564,54.480109,-12.452447,-14.479633,0.577497
1.000000,313.179316,119.390246,329.973738,36.892174,-17.587935,-5.135488,1.440826
1.000000,313.792168,127.499411,338.106028,8.132290,-28.759884,-11.171949,1.545161
1.000000,313.792168,127.499411,338.106028,0.000000,-8.132290,20.627594,1.545161
