dt,x,y,position,velocity,acceleration,jerk,heading
1.000000,80.617667,174.113125,15.000000,30.000000,30.000000,30.000000,0.036385
1.000000,124.873540,177.326940,59.372411,44.372411,14.372411,-15.627589,0.095523
1.000000,177.675261,182.081151,112.387733,53.015322,8.642910,-5.729501,0.066497
1.000000,208.756394,183.227455,143.489997,31.102264,-21.913057,-30.555968,0.001534
1.000000,216.699087,183.153888,151.433031,7.943034,-23.159230,-1.246173,6.262780
1.000000,216.699087,183.153888,151.433031,0.000000,-7.943034,15.216196,6.262780
